[114.105224609] 2016-12-18 17:59:19,749 - INFO - launcher: Starting sanity checks
[114.670515060] 2016-12-18 17:59:19,749 - INFO - launcher: Checking for python 3.5+
[114.900112152] 2016-12-18 17:59:19,750 - INFO - launcher: Checking console encoding
[115.117311478] 2016-12-18 17:59:19,750 - INFO - launcher: Ensuring we're in the right folder
[116.081714630] 2016-12-18 17:59:19,751 - INFO - launcher: Checks passed.
[116.600036621] 2016-12-18 17:59:19,751 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[5.2947113513946533] 2016-12-18 17:59:24,929 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 369 in join_voice_channel: (join_voice_channel) setting voice state
[5.2951297760009766] 2016-12-18 17:59:24,930 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 372 in join_voice_channel: (join_voice_channel) waiting for session id
[5.4447472095489502] 2016-12-18 17:59:25,079 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 2526 in on_voice_state_update: Voice state update for 258116983072096257/Phụng Đẹp Trai#8519 on Fshare-VOZ OFF HN/Bot-NHẠC-Radio -> [JOIN, CONNECT]
[5.4453299045562744] 2016-12-18 17:59:25,080 - INFO - musicbot.bot | In bot.py::MainThread(139979969156864), line 2537 in on_voice_state_update: 258116983072096257/Phụng Đẹp Trai#8519 has joined Fshare-VOZ OFF HN/Bot-NHẠC-Radio
[5.4462680816650391] 2016-12-18 17:59:25,081 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 376 in join_voice_channel: (join_voice_channel) waiting for voice data
[5.6759452819824219] 2016-12-18 17:59:25,311 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 390 in join_voice_channel: (join_voice_channel) connecting...
[6.9897553920745850] 2016-12-18 17:59:26,624 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 402 in join_voice_channel: (join_voice_channel) connection successful
[6.9902393817901611] 2016-12-18 17:59:26,625 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 450 in get_voice_client: Connected in 1.7s
[6.9903991222381592] 2016-12-18 17:59:26,625 - INFO - musicbot.bot | In bot.py::MainThread(139979969156864), line 451 in get_voice_client: Connected to Fshare-VOZ OFF HN/Bot-NHẠC-Radio
[6.9910161495208740] 2016-12-18 17:59:26,626 - DEBUG - musicbot.bot | In bot.py::MainThread(139979969156864), line 784 in deserialize_queue: Deserializing queue for 249554704508518400
